username,total_comments,sentiment_score,positive_count,neutral_count,negative_count,avg_bert_score,avg_vader_score,positive_pct,neutral_pct,negative_pct
nestingstory,1,0.8604,1,0,0,0.824,0.9455,100.0,0.0,0.0
modestblondie,1,0.8604,1,0,0,0.828,0.936,100.0,0.0,0.0
miriamcandurro,1,0.8603,1,0,0,0.8193,0.956,100.0,0.0,0.0
petrucc,1,0.8602,1,0,0,0.8383,0.9113,100.0,0.0,0.0
raquelpaivablog,1,0.8602,1,0,0,0.832,0.926,100.0,0.0,0.0
withkendra,1,0.8601,1,0,0,0.8246,0.9428,100.0,0.0,0.0
myperfectgreens,2,0.86,2,0,0,0.8478,0.8882,100.0,0.0,0.0
dalydoll101,2,0.86,2,0,0,0.8211,0.9508,100.0,0.0,0.0
londonpaleogirl,2,0.86,2,0,0,0.8458,0.8932,100.0,0.0,0.0
carodaur,1,0.8599,1,0,0,0.8423,0.901,100.0,0.0,0.0
irimatic,1,0.8599,1,0,0,0.8423,0.901,100.0,0.0,0.0
victoriadnc,1,0.8598,1,0,0,0.8856,0.7997,100.0,0.0,0.0
betsywynterwinnie,1,0.8598,1,0,0,0.8324,0.9238,100.0,0.0,0.0
whatdoesnotexist,1,0.8597,1,0,0,0.8115,0.9721,100.0,0.0,0.0
tilsa_lozano,1,0.8597,1,0,0,0.833,0.9221,100.0,0.0,0.0
blairblogs,2,0.8596,2,0,0,0.8878,0.7936,100.0,0.0,0.0
miameierdk,1,0.8596,1,0,0,0.803,0.9915,100.0,0.0,0.0
houseofhargrove,1,0.8596,1,0,0,0.8388,0.9081,100.0,0.0,0.0
mr.squeakyballs,1,0.8596,1,0,0,0.8397,0.9061,100.0,0.0,0.0
charlottekpunkt,1,0.8596,1,0,0,0.8223,0.9465,100.0,0.0,0.0
saquitodecanela,1,0.8595,1,0,0,0.8455,0.8922,100.0,0.0,0.0
fashionfundi,1,0.8595,1,0,0,0.8638,0.8494,100.0,0.0,0.0
blueskytraveler,1,0.8595,1,0,0,0.8354,0.9158,100.0,0.0,0.0
martinachiella,1,0.8595,1,0,0,0.8455,0.8922,100.0,0.0,0.0
therealslimsadie15,1,0.8594,1,0,0,0.8797,0.8119,100.0,0.0,0.0
francinyehlke,1,0.8593,1,0,0,0.8235,0.9427,100.0,0.0,0.0
thelovelyescapist,1,0.8592,1,0,0,0.8744,0.8238,100.0,0.0,0.0
paigebackstage,1,0.8592,1,0,0,0.8767,0.8185,100.0,0.0,0.0
marcellosacchetta,1,0.8591,1,0,0,0.8845,0.7997,100.0,0.0,0.0
2khtstylish,1,0.8591,1,0,0,0.8845,0.7997,100.0,0.0,0.0
dianemichiko,1,0.859,1,0,0,0.8694,0.8348,100.0,0.0,0.0
____auguste____,1,0.8589,1,0,0,0.8214,0.9465,100.0,0.0,0.0
lifeofmomofficial,1,0.8588,1,0,0,0.8246,0.9386,100.0,0.0,0.0
byhilaryrose,1,0.8588,1,0,0,0.867,0.8396,100.0,0.0,0.0
victoriaczajkowska,1,0.8588,1,0,0,0.811,0.9702,100.0,0.0,0.0
vanillestilettos,2,0.8588,2,0,0,0.825,0.9376,100.0,0.0,0.0
meetmylovelyworld,1,0.8586,1,0,0,0.8053,0.9828,100.0,0.0,0.0
_nathaliemartin,2,0.8586,2,0,0,0.8178,0.954,100.0,0.0,0.0
nastilove,1,0.8586,1,0,0,0.8173,0.9548,100.0,0.0,0.0
meg816,2,0.8585,2,0,0,0.8409,0.8996,100.0,0.0,0.0
deeplysouthernhome,1,0.8585,1,0,0,0.8393,0.9032,100.0,0.0,0.0
bruinalexander,1,0.8585,1,0,0,0.8839,0.7992,100.0,0.0,0.0
avantimorocha_1,1,0.8585,1,0,0,0.871,0.8294,100.0,0.0,0.0
solene_lgnt,1,0.8585,1,0,0,0.871,0.8294,100.0,0.0,0.0
thegoldenjournal,1,0.8584,1,0,0,0.8402,0.901,100.0,0.0,0.0
thestylistadiaries,1,0.8584,1,0,0,0.8755,0.8185,100.0,0.0,0.0
skynaite,1,0.8584,1,0,0,0.8402,0.901,100.0,0.0,0.0
catherinevanboeckel,1,0.8583,1,0,0,0.8685,0.8345,100.0,0.0,0.0
sarahwhnr,1,0.8582,1,0,0,0.8155,0.9577,100.0,0.0,0.0
multiculturalmotherhood,1,0.8581,1,0,0,0.8196,0.9479,100.0,0.0,0.0
tobias.schwetz_official,1,0.8581,1,0,0,0.8182,0.9511,100.0,0.0,0.0
karinachorley,1,0.8581,1,0,0,0.8803,0.8062,100.0,0.0,0.0
sea_sand_and_jaime,1,0.8578,1,0,0,0.8487,0.879,100.0,0.0,0.0
splitthebill,1,0.8578,1,0,0,0.8676,0.8348,100.0,0.0,0.0
elisabetdou,2,0.8577,2,0,0,0.8378,0.9042,100.0,0.0,0.0
nia_mayflow,4,0.8577,4,0,0,0.8144,0.9585,100.0,0.0,0.0
crissilveira,1,0.8576,1,0,0,0.8946,0.7712,100.0,0.0,0.0
rikki.fit,1,0.8576,1,0,0,0.8485,0.879,100.0,0.0,0.0
foodlovetog,1,0.8576,1,0,0,0.8135,0.9604,100.0,0.0,0.0
jesskatt123,1,0.8575,1,0,0,0.8247,0.934,100.0,0.0,0.0
charwards,1,0.8574,1,0,0,0.8213,0.9417,100.0,0.0,0.0
maxbestiabert,1,0.8574,1,0,0,0.8411,0.8953,100.0,0.0,0.0
tuttelemelediannie,1,0.8574,1,0,0,0.8411,0.8953,100.0,0.0,0.0
yasminbrunet1,1,0.8574,1,0,0,0.8411,0.8953,100.0,0.0,0.0
dollywolly88,2,0.8574,2,0,0,0.8071,0.9746,100.0,0.0,0.0
lunamae.08,1,0.8574,1,0,0,0.8237,0.9359,100.0,0.0,0.0
just1n5chau,1,0.8574,1,0,0,0.8498,0.8753,100.0,0.0,0.0
sandrasteve,1,0.8572,1,0,0,0.8008,0.9889,100.0,0.0,0.0
afashionnerd,3,0.8572,2,0,1,0.8388,0.9,66.7,0.0,33.3
littlehiccups,2,0.8572,2,0,0,0.8736,0.8192,100.0,0.0,0.0
jemimas,1,0.8572,1,0,0,0.8299,0.921,100.0,0.0,0.0
run_rhandi_run,2,0.8571,2,0,0,0.8422,0.8916,100.0,0.0,0.0
khloedosh,1,0.8571,1,0,0,0.8284,0.9241,100.0,0.0,0.0
naturallycurly,1,0.8571,1,0,0,0.8407,0.8953,100.0,0.0,0.0
lilou_amore,1,0.8571,1,0,0,0.8144,0.9568,100.0,0.0,0.0
jennyplogstyle,1,0.857,1,0,0,0.8874,0.7859,100.0,0.0,0.0
julialinnea1,2,0.8569,2,0,0,0.8763,0.8117,100.0,0.0,0.0
leannenoellee,1,0.8569,1,0,0,0.826,0.9291,100.0,0.0,0.0
danijelbarak,1,0.8569,1,0,0,0.8789,0.8057,100.0,0.0,0.0
